All compounds together:
optimized t0: 0.62
optimized tD: 0.35
optimized time: [0.4, 1.0, 2.1, 5.6, 5.9, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.07, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
average/RMS error of calibration compounds after optimization: 0.001/0.014
average/RMS error of all compounds after optimization: 0.01/0.04
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.62
optimized tD: 0.36
optimized time: [0.4, 1.0, 2.1, 5.4, 6.0, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.07, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
For compounds without sulfate: 
optimized t0: 0.63
optimized tD: 0.31
optimized time: [0.4, 0.9, 1.9, 5.5, 6.0, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.07, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: 0.001/0.013
average/RMS error of all compounds after optimization: 0.01/0.041
name	actual RT	predict RT1	error1	predict RT2	error2
isoHDCA;GBA-6S	3.23	3.21	-0.02	3.22	-0.01	
isoHDCA;GBA-3S	3.51	3.5	-0.01	3.51	0	
isoHDCA;TBA	6.09	6.19	0.1	6.19	0.1	
isoHDCA;TBA-6S	3.2	3.19	-0.01	3.2	0	
isoHDCA;TBA-3S	3.49	3.47	-0.02	3.48	-0.01	
isoUDCA;BA	11	11.02	0.02	11.02	0.02	
isoUDCA;BA-3S	7.35	7.34	-0.01	7.34	-0.01	
isoUDCA;BA-7S	8.52	8.55	0.03	8.54	0.02	
isoUDCA;GBA	4.9	4.95	0.05	4.94	0.04	
isoUDCA;GBA-3S	2.97	2.95	-0.02	2.96	-0.01	
isoUDCA;GBA-7S	3.38	3.37	-0.01	3.38	0	
isoUDCA;TBA	5.28	5.38	0.1	5.36	0.08	
isoUDCA;TBA-3S	2.96	2.95	-0.01	2.96	0	
isoUDCA;TBA-7S	3.31	3.3	-0.01	3.31	0	
MDCA;BA	10.9	10.92	0.02	10.92	0.02	
MDCA;BA-6S	7.34	7.32	-0.02	7.32	-0.02	
MDCA;BA-3S	7.75	7.73	-0.02	7.73	-0.02	
MDCA;GBA	5.19	5.25	0.06	5.24	0.05	
MDCA;GBA-6S	2.93	2.91	-0.02	2.92	-0.01	
MDCA;GBA-3S	3.06	3.02	-0.04	3.03	-0.03	
MDCA;TBA	5.6	5.68	0.08	5.67	0.07	
MDCA;TBA-6S	2.93	2.91	-0.02	2.92	-0.01	
MDCA;TBA-3S	3.04	3.02	-0.02	3.03	-0.01	
UDCA;BA	11.62	11.62	0	11.62	0	
UDCA;BA-3S	8.15	8.15	0	8.14	-0.01	
UDCA;BA-7S	9.7	9.7	0	9.71	0.01	
UDCA;GBA	7.17	7.17	0	7.17	0	
UDCA;GBA-3S	3.39	3.36	-0.03	3.37	-0.02	
UDCA;GBA-7S	4.54	4.56	0.02	4.57	0.03	
UDCA;TBA	7.39	7.38	-0.01	7.39	0	
UDCA;TBA-3S	3.37	3.35	-0.02	3.36	-0.01	
UDCA;TBA-7S	4.49	4.5	0.01	4.51	0.02	
12o-DCA;BA	12.65	12.65	0	12.65	0	
12o-DCA;BA-3S	9.44	9.48	0.04	9.49	0.05	
12o-DCA;GBA	8.72	8.79	0.07	8.81	0.09	
12o-DCA;GBA-3S	4.05	4.05	0	4.06	0.01	
12o-DCA;TBA	9.03	9.09	0.06	9.11	0.08	
12o-DCA;TBA-3S	4	4	0	4.01	0.01	
3o-CDCA;BA	13.92	13.94	0.02	13.94	0.02	
3o-CDCA;BA-7S	10.72	10.71	-0.01	10.72	0	
3o-CDCA;GBA	10.08	10.09	0.01	10.09	0.01	
3o-CDCA;GBA-7S	6.15	6.24	0.09	6.25	0.1	
3o-CDCA;TBA	10.26	10.27	0.01	10.26	0	
3o-CDCA;TBA-7S	5.96	6.05	0.09	6.06	0.1	
3o-DCA;BA	13.83	13.82	-0.01	13.82	-0.01	
3o-DCA;BA-12S	10.78	10.77	-0.01	10.78	0	
3o-DCA;GBA	10.33	10.33	0	10.33	0	
3o-DCA;GBA-12S	6.88	6.89	0.01	6.88	0	
3o-DCA;TBA	10.48	10.48	0	10.48	0	
3o-DCA;TBA-12S	6.67	6.78	0.11	6.73	0.06	
3o-HDCA;BA	12.2	12.19	-0.01	12.19	-0.01	
3o-HDCA;BA-6S	9.12	9.16	0.04	9.16	0.04	
3o-HDCA;GBA	7.38	7.39	0.01	7.39	0.01	
3o-HDCA;GBA-6S	3.42	3.4	-0.02	3.41	-0.01	
3o-HDCA;TBA	7.64	7.63	-0.01	7.64	0	
3o-HDCA;TBA-6S	3.42	3.4	-0.02	3.41	-0.01	
6o-alloMDCA;BA	12.39	12.38	-0.01	12.38	-0.01	
6o-alloMDCA;BA-3S	9.45	9.47	0.02	9.47	0.02	
6o-alloMDCA;GBA	7.62	7.64	0.02	7.65	0.03	
6o-alloMDCA;GBA-3S	3.87	3.8	-0.07	3.81	-0.06	
6o-alloMDCA;TBA	7.88	7.89	0.01	7.9	0.02	
6o-alloMDCA;TBA-3S	3.78	3.77	-0.01	3.78	0	
6o-HDCA;BA	12.02	12.04	0.02	12.03	0.01	
6o-HDCA;BA-3S	9.46	9.48	0.02	9.49	0.03	
6o-HDCA;GBA	7.4	7.41	0.01	7.41	0.01	
6o-HDCA;GBA-3S	3.85	3.83	-0.02	3.84	-0.01	
6o-HDCA;TBA	7.62	7.63	0.01	7.64	0.02	
6o-HDCA;TBA-3S	3.81	3.79	-0.02	3.8	-0.01	
7o-CDCA;BA	12.5	12.49	-0.01	12.49	-0.01	
7o-CDCA;BA-3S	9.78	9.79	0.01	9.8	0.02	
7o-CDCA;GBA	8.15	8.18	0.03	8.2	0.05	
7o-CDCA;GBA-3S	4.19	4.16	-0.03	4.17	-0.02	
7o-CDCA;TBA	8.39	8.41	0.02	8.43	0.04	
7o-CDCA;TBA-3S	4.09	4.06	-0.03	4.07	-0.02	
apoCA;BA	12.73	12.76	0.03	12.75	0.02	
apoCA;GBA	9.37	9.41	0.04	9.42	0.05	
apoCA;TBA	9.56	9.59	0.03	9.59	0.03	
12o-d9-DCA;BA	12.05	12.07	0.02	12.07	0.02	
12o-d9-DCA;BA-3S	8.68	8.72	0.04	8.72	0.04	
12o-d9-DCA;GBA	7.68	7.7	0.02	7.71	0.03	
12o-d9-DCA;GBA-3S	3.61	3.6	-0.01	3.61	0	
12o-d9-DCA;TBA	7.88	7.91	0.03	7.92	0.04	
12o-d9-DCA;TBA-3S	3.57	3.55	-0.02	3.56	-0.01	
3,12-2o-DCA;BA	12.71	12.7	-0.01	12.7	-0.01	
3,12-2o-DCA;GBA	8.29	8.34	0.05	8.36	0.07	
3,12-2o-DCA;TBA	8.58	8.64	0.06	8.67	0.09	
3,6-2o-HDCA;BA	12.84	12.83	-0.01	12.84	0	
3,6-2o-HDCA;GBA	8.05	8.09	0.04	8.1	0.05	
3,6-2o-HDCA;TBA	8.36	8.42	0.06	8.44	0.08	
3,7-2o-CDCA;BA	12.87	12.88	0.01	12.88	0.01	
3,7-2o-CDCA;GBA	8.15	8.2	0.05	8.22	0.07	
3,7-2o-CDCA;TBA	8.41	8.48	0.07	8.5	0.09	
3o-d4-CDCA;BA	11.95	11.95	0	11.95	0	
iso-d5-7o-CDCA;BA	11.34	11.33	-0.01	11.33	-0.01	
iso-d5-7o-CDCA;BA-3S	8.86	8.86	0	8.86	0	
iso-d5-7o-CDCA;GBA	5.47	5.57	0.1	5.56	0.09	
iso-d5-7o-CDCA;TBA	5.88	5.98	0.1	5.97	0.09	
12-epiCA;BA	7.36	7.38	0.02	7.39	0.03	
12-epiCA;GBA	3.42	3.4	-0.02	3.36	-0.06	
12-epiCA;TBA	3.54	3.53	-0.01	3.49	-0.05	
alloCA;BA	8.58	8.64	0.06	8.67	0.09	
alloCA;GBA	8.03	8.07	0.04	8.08	0.05	
alloCA;TBA	8.17	8.22	0.05	8.24	0.07	
a-MCA;BA	9.93	9.99	0.06	9.99	0.06	
a-MCA;GBA	4.27	4.3	0.03	4.27	0	
a-MCA;TBA	4.42	4.45	0.03	4.42	0	
b-MCA;BA	9.58	9.63	0.05	9.64	0.06	
b-MCA;GBA	4.21	4.18	-0.03	4.15	-0.06	
b-MCA;TBA	4.59	4.58	-0.01	4.55	-0.04	
CA;BA	11.36	11.37	0.01	11.37	0.01	
CA;BA-7S	8	8	0	7.99	-0.01	
CA;BA-3S	8.46	8.48	0.02	8.47	0.01	
CA;GBA	7.64	7.64	0	7.65	0.01	
CA;GBA-3S	3.82	3.81	-0.01	3.82	0	
CA;TBA	7.85	7.85	0	7.86	0.01	
CA;TBA-3S	3.79	3.78	-0.01	3.79	0	
DCA-1b-ol;BA	9.21	9.26	0.05	9.28	0.07	
DCA-1b-ol;GBA	4.16	4.17	0.01	4.13	-0.03	
DCA-1b-ol;TBA	4.34	4.36	0.02	4.32	-0.02	
HCA;BA	10.78	10.79	0.01	10.79	0.01	
HCA;GBA	6.17	6.31	0.14	6.3	0.13	
HCA;TBA	6.64	6.73	0.09	6.69	0.05	
isoCA;BA	9	9.13	0.13	9.15	0.15	
isoCA;GBA	4.21	4.2	-0.01	4.17	-0.04	
isoCA;TBA	4.42	4.44	0.02	4.4	-0.02	
UCA;BA	7.45	7.49	0.04	7.5	0.05	
UCA;GBA	3.68	3.68	0	3.64	-0.04	
UCA;TBA	3.83	3.83	0	3.79	-0.04	
w-MCA;BA	9.18	9.22	0.04	9.24	0.06	
w-MCA;GBA	3.95	3.93	-0.02	3.89	-0.06	
w-MCA;TBA	4.16	4.17	0.01	4.13	-0.03	
12o-CA;BA	9.85	9.9	0.05	9.9	0.05	
12o-CA;GBA	5.1	5.19	0.09	5.17	0.07	
12o-CA;TBA	5.42	5.52	0.1	5.51	0.09	
3o-CA;BA	10.99	11.01	0.02	11.01	0.02	
3o-CA;GBA	7.03	7.05	0.02	7.05	0.02	
3o-CA;TBA	7.21	7.22	0.01	7.22	0.01	
7o-CA;BA	9.73	9.78	0.05	9.78	0.05	
7o-CA;GBA	5.07	5.13	0.06	5.11	0.04	
7o-CA;TBA	5.34	5.4	0.06	5.38	0.04	
7o-HCA;BA	10.4	10.43	0.03	10.43	0.03	
7o-HCA;GBA	4.95	4.95	0	4.93	-0.02	
7o-HCA;TBA	5.24	5.26	0.02	5.25	0.01	
7,12-2o-CA;BA	7.55	7.6	0.05	7.61	0.06	
7,12-2o-CA;BA-3S	4.39	4.4	0.01	4.41	0.02	
7,12-2o-CA;GBA	3.44	3.42	-0.02	3.38	-0.06	
7,12-2o-CA;GBA-3S	2.52	2.44	-0.08	2.45	-0.07	
7,12-2o-CA;TBA	3.55	3.54	-0.01	3.5	-0.05	
7,12-2o-CA;TBA-3S	2.52	2.44	-0.08	2.45	-0.07	
3,7,12-3o-CA;BA	7.66	7.72	0.06	7.73	0.07	
3,7,12-3o-CA;GBA	3.43	3.41	-0.02	3.37	-0.06	
3,7,12-3o-CA;TBA	3.56	3.52	-0.04	3.49	-0.07	
CA-6a-ol;BA	7.18	7.16	-0.02	7.16	-0.02	
CA-6a-ol;GBA	3.42	3.38	-0.04	3.33	-0.09	
CA-6a-ol;TBA	3.55	3.51	-0.04	3.46	-0.09	
