All compounds together:
optimized t0: 0.46
optimized tD: 0.65
optimized time: [0.5, 1.0, 1.9, 5.6, 5.9, 8.1, 9.0, 16.9, 17.9]
optimized perB: [0.03, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.63, 0.98]
average/RMS error of calibration compounds after optimization: 0.011/0.065
average/RMS error of all compounds after optimization: -0.009/0.104
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.45
optimized tD: 0.62
optimized time: [0.4, 1.1, 1.9, 5.5, 6.0, 8.1, 9.0, 16.9, 17.9]
optimized perB: [0.07, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.63, 0.98]
For compounds without sulfate: 
optimized t0: 0.52
optimized tD: 0.46
optimized time: [0.6, 0.9, 1.9, 5.5, 5.9, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.03, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: -0.001/0.028
average/RMS error of all compounds after optimization: 0.015/0.065
name	actual RT	predict RT1	error1	predict RT2	error2
3,6-2o-HDCA;GBA	7.56	7.53	-0.03	7.64	0.08	
3,6-2o-HDCA;TBA	7.8	7.79	-0.01	7.93	0.13	
3,7-2o-CDCA;BA	12.45	12.5	0.05	12.54	0.09	
3,7-2o-CDCA;GBA	7.64	7.61	-0.03	7.74	0.1	
3,7-2o-CDCA;TBA	7.85	7.83	-0.02	7.97	0.12	
3o-d4-CDCA;BA	11.6	11.59	-0.01	11.64	0.04	
iso-d5-7o-CDCA;BA	10.94	10.95	0.01	11.02	0.08	
iso-d5-7o-CDCA;BA-3S	8.02	8.17	0.15	8.1	0.08	
iso-d5-7o-CDCA;GBA	4.98	4.83	-0.15	5.06	0.08	
iso-d5-7o-CDCA;TBA	5.26	5.13	-0.13	5.4	0.14	
12-epiCA;BA	7.04	6.97	-0.07	7.03	-0.01	
12-epiCA;GBA	3.26	3.21	-0.05	3.24	-0.02	
12-epiCA;TBA	3.36	3.31	-0.05	3.35	-0.01	
alloCA;BA	8.16	7.97	-0.19	8.13	-0.03	
alloCA;GBA	7.68	7.57	-0.11	7.66	-0.02	
alloCA;TBA	7.79	7.68	-0.11	7.79	0	
a-MCA;BA	9.53	9.46	-0.07	9.61	0.08	
a-MCA;GBA	4.02	3.88	-0.14	3.99	-0.03	
a-MCA;TBA	4.12	3.99	-0.13	4.12	0	
b-MCA;BA	9.13	8.89	-0.24	9.16	0.03	
b-MCA;GBA	3.92	3.8	-0.12	3.89	-0.03	
b-MCA;TBA	4.23	4.09	-0.14	4.23	0	
CA;BA	11.1	11.03	-0.07	11.08	-0.02	
CA;BA-7S	7.57	7.53	-0.04	7.48	-0.09	
CA;BA-3S	7.9	7.89	-0.01	7.83	-0.07	
CA;GBA	7.33	7.26	-0.07	7.3	-0.03	
CA;GBA-3S	3.54	3.52	-0.02	3.5	-0.04	
CA;TBA	7.5	7.42	-0.08	7.48	-0.02	
CA;TBA-3S	3.49	3.5	0.01	3.48	-0.01	
DCA-1b-ol;BA	8.68	8.44	-0.24	8.67	-0.01	
DCA-1b-ol;GBA	3.91	3.79	-0.12	3.88	-0.03	
DCA-1b-ol;TBA	4.06	3.93	-0.13	4.04	-0.02	
HCA;BA	10.49	10.44	-0.05	10.5	0.01	
HCA;GBA	5.62	5.38	-0.24	5.68	0.06	
HCA;TBA	6.01	5.75	-0.26	6.1	0.09	
isoCA;BA	8.52	8.31	-0.21	8.53	0.01	
isoCA;GBA	3.95	3.81	-0.14	3.91	-0.04	
isoCA;TBA	4.12	3.98	-0.14	4.11	-0.01	
UCA;BA	7.14	7.06	-0.08	7.13	-0.01	
UCA;GBA	3.51	3.42	-0.09	3.47	-0.04	
UCA;TBA	3.62	3.53	-0.09	3.6	-0.02	
w-MCA;BA	8.67	8.41	-0.26	8.63	-0.04	
w-MCA;GBA	3.73	3.61	-0.12	3.68	-0.05	
w-MCA;TBA	3.91	3.79	-0.12	3.88	-0.03	
12o-CA;BA	9.48	9.31	-0.17	9.5	0.02	
12o-CA;GBA	4.78	4.54	-0.24	4.74	-0.04	
12o-CA;TBA	5.01	4.79	-0.22	5.02	0.01	
3o-CA;BA	10.65	10.62	-0.03	10.69	0.04	
3o-CA;GBA	6.71	6.56	-0.15	6.78	0.07	
3o-CA;TBA	6.88	6.91	0.03	6.94	0.06	
7o-CA;BA	9.32	9.1	-0.22	9.34	0.02	
7o-CA;GBA	4.72	4.5	-0.22	4.69	-0.03	
7o-CA;TBA	4.91	4.7	-0.21	4.91	0	
7o-HCA;BA	10	9.99	-0.01	10.08	0.08	
7o-HCA;GBA	4.54	4.37	-0.17	4.54	0	
7o-HCA;TBA	4.75	4.6	-0.15	4.8	0.05	
7,12-2o-CA;BA	7.14	7.1	-0.04	7.19	0.05	
7,12-2o-CA;BA-3S	3.95	3.96	0.01	3.92	-0.03	
7,12-2o-CA;GBA	3.26	3.23	-0.03	3.26	0	
7,12-2o-CA;GBA-3S	2.35	2.48	0.13	2.48	0.13	
7,12-2o-CA;TBA	3.35	3.32	-0.03	3.36	0.01	
7,12-2o-CA;TBA-3S	2.32	2.47	0.15	2.48	0.16	
3,7,12-3o-CA;BA	7.12	7.13	0.01	7.26	0.14	
3,7,12-3o-CA;GBA	3.2	3.22	0.02	3.25	0.05	
3,7,12-3o-CA;TBA	3.29	3.3	0.01	3.34	0.05	
CA-6a-ol;BA	6.85	6.76	-0.09	6.87	0.02	
CA-6a-ol;GBA	3.23	3.2	-0.03	3.22	-0.01	
CA-6a-ol;TBA	3.33	3.29	-0.04	3.33	0	
