All compounds together:
optimized t0: 0.53
optimized tD: 0.28
optimized time: [0.4, 13.6, 15.4, 18.1]
optimized perB: [0.2, 0.4, 0.58, 0.72]
average/RMS error of calibration compounds after optimization: 0.005/0.079
average/RMS error of all compounds after optimization: 0.025/0.092
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.51
optimized tD: 0.28
optimized time: [0.4, 13.6, 15.4, 17.9]
optimized perB: [0.2, 0.4, 0.58, 0.68]
For compounds without sulfate: 
optimized t0: 0.53
optimized tD: 0.37
optimized time: [0.4, 13.6, 15.5, 17.9]
optimized perB: [0.2, 0.4, 0.6, 0.68]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: -0.005/0.03
average/RMS error of all compounds after optimization: 0.028/0.067
name	actual RT	predict RT1	error1	predict RT2	error2
iso-d5-LCA;BA-3S	11.7	11.95	0.25	11.83	0.13	
iso-d5-LCA;GBA	9.7	9.68	-0.02	9.76	0.06	
iso-d5-LCA;GBA-3S	5.68	5.88	0.2	5.79	0.11	
iso-d5-LCA;TBA	9.85	9.87	0.02	9.95	0.1	
iso-d5-LCA;TBA-3S	5.54	5.77	0.23	5.69	0.15	
3o-d4-LCA;BA	16.43	16.48	0.05	16.49	0.06	
3o-d4-LCA;GBA	10.99	10.99	0	11.08	0.09	
3o-d4-LCA;TBA	11.17	11.21	0.04	11.3	0.13	
12-epiDCA;BA	13.39	13.3	-0.09	13.39	0	
12-epiDCA;BA-12S	8.18	8.31	0.13	8.2	0.02	
12-epiDCA;BA-3S	9.38	9.42	0.04	9.31	-0.07	
12-epiDCA;GBA	7.6	7.52	-0.08	7.6	0	
12-epiDCA;GBA-12S	3.55	3.64	0.09	3.56	0.01	
12-epiDCA;GBA-3S	4.63	4.68	0.05	4.6	-0.03	
12-epiDCA;TBA	7.87	7.84	-0.03	7.92	0.05	
12-epiDCA;TBA-12S	3.57	3.72	0.15	3.64	0.07	
12-epiDCA;TBA-3S	4.34	4.45	0.11	4.37	0.03	
3b-DCA;BA	13.38	13.27	-0.11	13.36	-0.02	
3b-DCA;BA-12S	8.65	8.63	-0.02	8.52	-0.13	
3b-DCA;BA-3S	9.13	9.22	0.09	9.11	-0.02	
3b-DCA;GBA	7.43	7.31	-0.12	7.4	-0.03	
3b-DCA;GBA-12S	4.17	4.18	0.01	4.1	-0.07	
3b-DCA;GBA-3S	4.46	4.56	0.1	4.47	0.01	
3b-DCA;TBA	7.64	7.55	-0.09	7.64	0	
3b-DCA;TBA-12S	3.93	4	0.07	3.92	-0.01	
3b-DCA;TBA-3S	4.4	4.54	0.14	4.45	0.05	
alloCDCA;BA	15.38	15.37	-0.01	15.44	0.06	
alloCDCA;BA-3S	10.68	10.72	0.04	10.6	-0.08	
alloCDCA;BA-7S	11.61	11.61	0	11.49	-0.12	
alloCDCA;GBA	9.81	9.7	-0.11	9.79	-0.02	
alloCDCA;GBA-3S	5.64	5.72	0.08	5.64	0	
alloCDCA;GBA-7S	6.54	6.58	0.04	6.49	-0.05	
alloCDCA;TBA	10.02	9.94	-0.08	10.03	0.01	
alloCDCA;TBA-3S	5.53	5.66	0.13	5.58	0.05	
alloCDCA;TBA-7S	6.36	6.42	0.06	6.33	-0.03	
alloUDCA;BA	12.5	12.47	-0.03	12.56	0.06	
alloUDCA;BA-3S	7.41	7.51	0.1	7.41	0	
alloUDCA;BA-7S	9.28	9.34	0.06	9.22	-0.06	
alloUDCA;GBA	6.62	6.53	-0.09	6.61	-0.01	
alloUDCA;GBA-3S	2.97	3.04	0.07	2.97	0	
alloUDCA;GBA-7S	4.59	4.65	0.06	4.56	-0.03	
alloUDCA;TBA	6.88	6.81	-0.07	6.9	0.02	
alloUDCA;TBA-3S	2.95	3.05	0.1	2.98	0.03	
alloUDCA;TBA-7S	4.5	4.6	0.1	4.52	0.02	
CDCA;BA	15.45	15.44	-0.01	15.51	0.06	
CDCA;BA-3S	10.83	10.9	0.07	10.78	-0.05	
CDCA;BA-7S	11.1	11.09	-0.01	10.97	-0.13	
CDCA;GBA	10.03	9.92	-0.11	10.01	-0.02	
CDCA;GBA-3S	5.75	5.84	0.09	5.76	0.01	
CDCA;GBA-7S	6.2	6.21	0.01	6.12	-0.08	
CDCA;TBA	10.26	10.16	-0.1	10.25	-0.01	
CDCA;TBA-3S	5.65	5.78	0.13	5.7	0.05	
CDCA;TBA-7S	6.03	6.09	0.06	6	-0.03	
DCA;BA	15.62	15.57	-0.05	15.63	0.01	
DCA;BA-3S	11.06	11.12	0.06	11	-0.06	
DCA;BA-12S	11.51	11.5	-0.01	11.38	-0.13	
DCA;GBA	10.69	10.57	-0.12	10.66	-0.03	
DCA;GBA-3S	6.13	6.2	0.07	6.11	-0.02	
DCA;GBA-12S	6.89	6.9	0.01	6.81	-0.08	
DCA;TBA	10.9	10.8	-0.1	10.89	-0.01	
DCA;TBA-3S	6.03	6.13	0.1	6.04	0.01	
DCA;TBA-12S	6.65	6.7	0.05	6.6	-0.05	
HDCA;BA	12.52	12.51	-0.01	12.6	0.08	
HDCA;BA-6S	7.54	7.67	0.13	7.56	0.02	
HDCA;BA-3S	9.07	9.19	0.12	9.08	0.01	
HDCA;GBA	6.8	6.75	-0.05	6.84	0.04	
HDCA;GBA-6S	2.89	2.95	0.06	2.88	-0.01	
HDCA;GBA-3S	4.13	4.21	0.08	4.13	0	
HDCA;TBA	7.04	7.03	-0.01	7.11	0.07	
HDCA;TBA-6S	2.86	2.97	0.11	2.9	0.04	
HDCA;TBA-3S	4.05	4.17	0.12	4.09	0.04	
isoCDCA;BA	13.27	13.21	-0.06	13.29	0.02	
isoCDCA;BA-7S	8.89	8.92	0.03	8.81	-0.08	
isoCDCA;BA-3S	9.02	9.18	0.16	9.07	0.05	
isoCDCA;GBA	6.95	6.86	-0.09	6.94	-0.01	
isoCDCA;GBA-7S	3.99	4	0.01	3.91	-0.08	
isoCDCA;GBA-3S	4.15	4.28	0.13	4.2	0.05	
isoCDCA;TBA	7.18	7.11	-0.07	7.19	0.01	
isoCDCA;TBA-7S	3.79	3.86	0.07	3.78	-0.01	
isoCDCA;TBA-3S	4.04	4.23	0.19	4.16	0.12	
isoDCA;BA	16.61	16.6	-0.01	16.61	0	
isoDCA;GBA	13.3	13.16	-0.14	13.25	-0.05	
isoDCA;TBA	13.53	13.45	-0.08	13.53	0	
isoHDCA;BA	11.6	11.59	-0.01	11.68	0.08	
isoHDCA;BA-6S	8.28	8.36	0.08	8.25	-0.03	
isoHDCA;BA-3S	8.28	8.44	0.16	8.33	0.05	
isoHDCA;GBA	5.37	5.31	-0.06	5.39	0.02	
isoHDCA;GBA-6S	2.85	2.92	0.07	2.85	0	
isoHDCA;GBA-3S	3.34	3.49	0.15	3.42	0.08	
isoHDCA;TBA	5.62	5.59	-0.03	5.67	0.05	
isoHDCA;TBA-6S	2.8	2.92	0.12	2.85	0.05	
isoHDCA;TBA-3S	3.32	3.49	0.17	3.42	0.1	
isoUDCA;BA	10.97	10.97	0	11.05	0.08	
isoUDCA;BA-3S	6.61	6.77	0.16	6.66	0.05	
isoUDCA;BA-7S	7.9	7.98	0.08	7.87	-0.03	
isoUDCA;GBA	4.83	4.75	-0.08	4.82	-0.01	
isoUDCA;GBA-3S	2.23	2.32	0.09	2.25	0.02	
isoUDCA;GBA-7S	3.1	3.13	0.03	3.05	-0.05	
isoUDCA;TBA	5.12	5.07	-0.05	5.14	0.02	
isoUDCA;TBA-3S	2.25	2.35	0.1	2.28	0.03	
isoUDCA;TBA-7S	2.97	3.07	0.1	3	0.03	
MDCA;BA	10.8	10.8	0	10.89	0.09	
MDCA;BA-6S	6.61	6.75	0.14	6.64	0.03	
MDCA;BA-3S	7.09	7.23	0.14	7.12	0.03	
MDCA;GBA	5.05	4.97	-0.08	5.05	0	
MDCA;GBA-6S	2.17	2.23	0.06	2.16	-0.01	
MDCA;GBA-3S	2.48	2.43	-0.05	2.37	-0.11	
MDCA;TBA	5.29	5.26	-0.03	5.34	0.05	
MDCA;TBA-6S	2.15	2.25	0.1	2.18	0.03	
MDCA;TBA-3S	2.45	2.48	0.03	2.41	-0.04	
UDCA;BA	12.1	12.06	-0.04	12.15	0.05	
UDCA;BA-3S	7.54	7.65	0.11	7.54	0	
UDCA;BA-7S	8.99	9.05	0.06	8.94	-0.05	
UDCA;GBA	6.6	6.52	-0.08	6.6	0	
UDCA;GBA-3S	3.11	3.19	0.08	3.12	0.01	
UDCA;GBA-7S	4.46	4.57	0.11	4.49	0.03	
UDCA;TBA	6.86	6.81	-0.05	6.89	0.03	
UDCA;TBA-3S	3.08	3.2	0.12	3.13	0.05	
UDCA;TBA-7S	4.39	4.53	0.14	4.45	0.06	
12o-DCA;BA	14.02	14	-0.02	14.08	0.06	
12o-DCA;BA-3S	8.67	8.77	0.1	8.66	-0.01	
12o-DCA;GBA	8.24	8.15	-0.09	8.24	0	
12o-DCA;GBA-3S	4	4.11	0.11	4.03	0.03	
12o-DCA;TBA	8.46	8.39	-0.07	8.47	0.01	
12o-DCA;TBA-3S	3.92	4.08	0.16	4	0.08	
3o-CDCA;BA	15.5	15.54	0.04	15.6	0.1	
3o-CDCA;BA-7S	10.56	10.66	0.1	10.54	-0.02	
3o-CDCA;GBA	9.62	9.59	-0.03	9.67	0.05	
3o-CDCA;GBA-7S	5.55	5.62	0.07	5.53	-0.02	
3o-CDCA;TBA	9.88	9.87	-0.01	9.96	0.08	
3o-CDCA;TBA-7S	5.4	5.53	0.13	5.44	0.04	
3o-DCA;BA	15.48	15.45	-0.03	15.52	0.04	
3o-DCA;BA-12S	10.72	10.75	0.03	10.62	-0.1	
3o-DCA;GBA	10.03	9.97	-0.06	10.06	0.03	
3o-DCA;GBA-12S	6.07	6.13	0.06	6.03	-0.04	
3o-DCA;TBA	10.24	10.22	-0.02	10.3	0.06	
3o-DCA;TBA-12S	5.83	5.94	0.11	5.85	0.02	
3o-HDCA;BA	13.09	13.13	0.04	13.22	0.13	
3o-HDCA;BA-6S	8.26	8.44	0.18	8.33	0.07	
3o-HDCA;GBA	6.81	6.82	0.01	6.9	0.09	
3o-HDCA;GBA-6S	3.1	3.22	0.12	3.15	0.05	
3o-HDCA;TBA	7.08	7.11	0.03	7.2	0.12	
3o-HDCA;TBA-6S	3.07	3.25	0.18	3.17	0.1	
6o-alloMDCA;BA	13.43	13.46	0.03	13.55	0.12	
6o-alloMDCA;BA-3S	8.61	8.77	0.16	8.66	0.05	
6o-alloMDCA;GBA	7.17	7.11	-0.06	7.19	0.02	
6o-alloMDCA;GBA-3S	3.74	3.87	0.13	3.79	0.05	
6o-alloMDCA;TBA	7.41	7.39	-0.02	7.47	0.06	
6o-alloMDCA;TBA-3S	3.67	3.87	0.2	3.79	0.12	
6o-HDCA;BA	12.73	12.83	0.1	12.92	0.19	
6o-HDCA;BA-3S	8.63	8.78	0.15	8.67	0.04	
6o-HDCA;GBA	6.85	6.85	0	6.93	0.08	
6o-HDCA;GBA-3S	3.78	3.89	0.11	3.81	0.03	
6o-HDCA;TBA	7.11	7.12	0.01	7.2	0.09	
6o-HDCA;TBA-3S	3.71	3.88	0.17	3.8	0.09	
7o-CDCA;BA	13.72	13.7	-0.02	13.79	0.07	
7o-CDCA;BA-3S	9.01	9.16	0.15	9.05	0.04	
7o-CDCA;GBA	7.72	7.66	-0.06	7.74	0.02	
7o-CDCA;GBA-3S	4.1	4.22	0.12	4.14	0.04	
7o-CDCA;TBA	7.89	7.87	-0.02	7.95	0.06	
7o-CDCA;TBA-3S	3.97	4.15	0.18	4.07	0.1	
apoCA;BA	14.32	14.28	-0.04	14.37	0.05	
apoCA;GBA	8.82	8.69	-0.13	8.78	-0.04	
apoCA;TBA	9.01	8.91	-0.1	8.99	-0.02	
12o-d9-DCA;BA	12.85	12.87	0.02	12.95	0.1	
12o-d9-DCA;BA-3S	7.98	8.12	0.14	8.01	0.03	
12o-d9-DCA;GBA	7.23	7.17	-0.06	7.25	0.02	
12o-d9-DCA;GBA-3S	3.45	3.55	0.1	3.47	0.02	
12o-d9-DCA;TBA	7.42	7.39	-0.03	7.48	0.06	
12o-d9-DCA;TBA-3S	3.36	3.52	0.16	3.44	0.08	
3,12-2o-DCA;BA	13.85	13.94	0.09	14.03	0.18	
3,12-2o-DCA;GBA	7.77	7.75	-0.02	7.83	0.06	
3,12-2o-DCA;TBA	8	8.01	0.01	8.09	0.09	
3,6-2o-HDCA;BA	14.04	14.27	0.23	14.36	0.32	
3,6-2o-HDCA;GBA	7.47	7.52	0.05	7.61	0.14	
3,6-2o-HDCA;TBA	7.73	7.83	0.1	7.91	0.18	
3,7-2o-CDCA;BA	14.15	14.32	0.17	14.4	0.25	
3,7-2o-CDCA;GBA	7.59	7.62	0.03	7.7	0.11	
3,7-2o-CDCA;TBA	7.81	7.87	0.06	7.96	0.15	
3o-d4-CDCA;BA	12.63	12.67	0.04	12.76	0.13	
iso-d5-7o-CDCA;BA	11.46	11.51	0.05	11.6	0.14	
iso-d5-7o-CDCA;BA-3S	8.02	8.23	0.21	8.12	0.1	
iso-d5-7o-CDCA;GBA	5.21	5.21	0	5.29	0.08	
iso-d5-7o-CDCA;TBA	5.43	5.46	0.03	5.54	0.11	
12-epiCA;BA	6.83	6.72	-0.11	6.8	-0.03	
12-epiCA;GBA	3.14	3.05	-0.09	3.11	-0.03	
12-epiCA;TBA	3.32	3.26	-0.06	3.31	-0.01	
alloCA;BA	8.11	8.03	-0.08	8.12	0.01	
alloCA;GBA	7.64	7.57	-0.07	7.65	0.01	
alloCA;TBA	7.76	7.71	-0.05	7.79	0.03	
a-MCA;BA	9.37	9.35	-0.02	9.44	0.07	
a-MCA;GBA	4.26	4.2	-0.06	4.27	0.01	
a-MCA;TBA	4.42	4.38	-0.04	4.45	0.03	
b-MCA;BA	8.94	8.89	-0.05	8.97	0.03	
b-MCA;GBA	4.18	4.11	-0.07	4.18	0	
b-MCA;TBA	4.52	4.47	-0.05	4.54	0.02	
CA;BA	11.78	11.69	-0.09	11.77	-0.01	
CA;BA-7S	7.53	7.52	-0.01	7.42	-0.11	
CA;BA-3S	7.88	7.95	0.07	7.84	-0.04	
CA;GBA	7.25	7.15	-0.1	7.23	-0.02	
CA;GBA-3S	3.83	3.88	0.05	3.8	-0.03	
CA;TBA	7.45	7.38	-0.07	7.46	0.01	
CA;TBA-3S	3.79	3.86	0.07	3.78	-0.01	
DCA-1b-ol;BA	8.59	8.5	-0.09	8.58	-0.01	
DCA-1b-ol;GBA	4.19	4.11	-0.08	4.18	-0.01	
DCA-1b-ol;TBA	4.35	4.3	-0.05	4.37	0.02	
HCA;BA	10.73	10.67	-0.06	10.76	0.03	
HCA;GBA	5.71	5.65	-0.06	5.73	0.02	
HCA;TBA	5.93	5.89	-0.04	5.97	0.04	
isoCA;BA	8.43	8.37	-0.06	8.46	0.03	
isoCA;GBA	4.21	4.14	-0.07	4.21	0	
isoCA;TBA	4.42	4.38	-0.04	4.45	0.03	
UCA;BA	6.95	6.86	-0.09	6.94	-0.01	
UCA;GBA	3.56	3.46	-0.1	3.52	-0.04	
UCA;TBA	3.73	3.66	-0.07	3.72	-0.01	
w-MCA;BA	8.54	8.47	-0.07	8.55	0.01	
w-MCA;GBA	3.92	3.84	-0.08	3.9	-0.02	
w-MCA;TBA	4.17	4.11	-0.06	4.18	0.01	
12o-CA;BA	9.3	9.22	-0.08	9.31	0.01	
12o-CA;GBA	5.02	4.95	-0.07	5.02	0	
12o-CA;TBA	5.22	5.18	-0.04	5.25	0.03	
3o-CA;BA	10.95	10.96	0.01	11.05	0.1	
3o-CA;GBA	6.4	6.36	-0.04	6.44	0.04	
3o-CA;TBA	6.6	6.59	-0.01	6.68	0.08	
7o-CA;BA	9.14	9.06	-0.08	9.14	0	
7o-CA;GBA	4.97	4.9	-0.07	4.97	0	
7o-CA;TBA	5.14	5.09	-0.05	5.16	0.02	
7o-HCA;BA	9.99	9.98	-0.01	10.07	0.08	
7o-HCA;GBA	4.81	4.76	-0.05	4.83	0.02	
7o-HCA;TBA	5.01	5	-0.01	5.07	0.06	
7,12-2o-CA;BA	6.94	6.93	-0.01	7	0.06	
7,12-2o-CA;BA-3S	4.11	4.22	0.11	4.13	0.02	
7,12-2o-CA;GBA	3.08	3.02	-0.06	3.07	-0.01	
7,12-2o-CA;GBA-3S	1.24	1.23	-0.01	1.19	-0.05	
7,12-2o-CA;TBA	3.24	3.2	-0.04	3.26	0.02	
7,12-2o-CA;TBA-3S	1.21	1.23	0.02	1.19	-0.02	
3,7,12-3o-CA;BA	6.89	6.98	0.09	7.06	0.17	
3,7,12-3o-CA;GBA	2.86	2.87	0.01	2.91	0.05	
3,7,12-3o-CA;TBA	3.03	3.05	0.02	3.09	0.06	
CA-6a-ol;BA	6.57	6.49	-0.08	6.57	0	
CA-6a-ol;GBA	3.18	3.12	-0.06	3.17	-0.01	
CA-6a-ol;TBA	3.36	3.31	-0.05	3.37	0.01	
