All compounds together:
optimized t0: 0.54
optimized tD: 0.46
optimized time: [0.6, 1.1, 1.9, 5.4, 6.0, 8.0, 9.0, 17.1, 17.9]
optimized perB: [0.03, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
average/RMS error of calibration compounds after optimization: -0.004/0.031
average/RMS error of all compounds after optimization: -0.012/0.057
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.55
optimized tD: 0.37
optimized time: [0.6, 0.9, 2.1, 5.4, 6.1, 8.1, 9.0, 17.1, 17.9]
optimized perB: [0.03, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
For compounds without sulfate: 
optimized t0: 0.57
optimized tD: 0.36
optimized time: [0.4, 1.0, 2.1, 5.6, 5.9, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.07, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: -0/0.021
average/RMS error of all compounds after optimization: 0.003/0.044
name	actual RT	predict RT1	error1	predict RT2	error2
iso-d5-LCA;BA-3S	11.14	11.2	0.06	11.16	0.02	
iso-d5-LCA;GBA	10.03	9.94	-0.09	9.96	-0.07	
iso-d5-LCA;GBA-3S	6.08	6.21	0.13	6.22	0.14	
iso-d5-LCA;TBA	10.14	10.06	-0.08	10.07	-0.07	
iso-d5-LCA;TBA-3S	5.84	5.99	0.15	6.01	0.17	
3o-d4-LCA;BA	15.38	15.26	-0.12	15.27	-0.11	
3o-d4-LCA;GBA	10.82	10.73	-0.09	10.75	-0.07	
3o-d4-LCA;TBA	10.93	10.85	-0.08	10.86	-0.07	
12-epiDCA;BA	12.11	12.09	-0.02	12.11	0	
12-epiDCA;BA-12S	8.54	8.56	0.02	8.58	0.04	
12-epiDCA;BA-3S	9.73	9.76	0.03	9.77	0.04	
12-epiDCA;GBA	7.82	7.73	-0.09	7.8	-0.02	
12-epiDCA;GBA-12S	3.46	3.48	0.02	3.44	-0.02	
12-epiDCA;GBA-3S	4.45	4.43	-0.02	4.4	-0.05	
12-epiDCA;TBA	8.14	8.04	-0.1	8.12	-0.02	
12-epiDCA;TBA-12S	3.48	3.51	0.03	3.47	-0.01	
12-epiDCA;TBA-3S	4.18	4.18	0	4.14	-0.04	
3b-DCA;BA	12.11	12.08	-0.03	12.1	-0.01	
3b-DCA;BA-12S	9.04	8.98	-0.06	9.01	-0.03	
3b-DCA;BA-3S	9.57	9.59	0.02	9.61	0.04	
3b-DCA;GBA	7.61	7.55	-0.06	7.61	0	
3b-DCA;GBA-12S	3.99	3.93	-0.06	3.89	-0.1	
3b-DCA;GBA-3S	4.23	4.24	0.01	4.21	-0.02	
3b-DCA;TBA	7.84	7.75	-0.09	7.82	-0.02	
3b-DCA;TBA-12S	3.79	3.76	-0.03	3.72	-0.07	
3b-DCA;TBA-3S	4.18	4.2	0.02	4.17	-0.01	
alloCDCA;BA	13.46	13.44	-0.02	13.45	-0.01	
alloCDCA;BA-3S	10.52	10.56	0.04	10.53	0.01	
alloCDCA;BA-7S	11.04	11.05	0.01	11.01	-0.03	
alloCDCA;GBA	9.96	9.95	-0.01	9.97	0.01	
alloCDCA;GBA-3S	5.86	5.89	0.03	5.9	0.04	
alloCDCA;GBA-7S	6.96	7	0.04	7	0.04	
alloCDCA;TBA	10.1	10.1	0	10.11	0.01	
alloCDCA;TBA-3S	5.74	5.76	0.02	5.77	0.03	
alloCDCA;TBA-7S	6.86	6.9	0.04	6.88	0.02	
alloUDCA;BA	11.64	11.63	-0.01	11.66	0.02	
alloUDCA;BA-3S	7.69	7.71	0.02	7.71	0.02	
alloUDCA;BA-7S	9.66	9.69	0.03	9.7	0.04	
alloUDCA;GBA	7	6.98	-0.02	7.01	0.01	
alloUDCA;GBA-3S	3.11	3.14	0.03	3.09	-0.02	
alloUDCA;GBA-7S	4.39	4.34	-0.05	4.31	-0.08	
alloUDCA;TBA	7.2	7.16	-0.04	7.2	0	
alloUDCA;TBA-3S	3.1	3.13	0.03	3.08	-0.02	
alloUDCA;TBA-7S	4.3	4.26	-0.04	4.24	-0.06	
CDCA;BA	13.54	13.56	0.02	13.57	0.03	
CDCA;BA-3S	10.62	10.65	0.03	10.62	0	
CDCA;BA-7S	10.75	10.76	0.01	10.73	-0.02	
CDCA;GBA	10.11	10.09	-0.02	10.1	-0.01	
CDCA;GBA-3S	6.13	6.14	0.01	6.15	0.02	
CDCA;GBA-7S	6.74	6.73	-0.01	6.71	-0.03	
CDCA;TBA	10.25	10.23	-0.02	10.25	0	
CDCA;TBA-3S	5.99	6.01	0.02	6.02	0.03	
CDCA;TBA-7S	6.62	6.6	-0.02	6.58	-0.04	
DCA;BA	13.78	13.77	-0.01	13.78	0	
DCA;BA-3S	10.74	10.77	0.03	10.74	0	
DCA;BA-12S	10.98	10.99	0.01	10.96	-0.02	
DCA;GBA	10.51	10.48	-0.03	10.49	-0.02	
DCA;GBA-3S	6.69	6.72	0.03	6.7	0.01	
DCA;GBA-12S	7.2	7.2	0	7.2	0	
DCA;TBA	10.63	10.61	-0.02	10.62	-0.01	
DCA;TBA-3S	6.61	6.65	0.04	6.63	0.02	
DCA;TBA-12S	7.05	7.07	0.02	7.07	0.02	
HDCA;BA	11.6	11.61	0.01	11.62	0.02	
HDCA;BA-6S	7.81	7.86	0.05	7.86	0.05	
HDCA;BA-3S	9.51	9.58	0.07	9.59	0.08	
HDCA;GBA	7.12	7.11	-0.01	7.14	0.02	
HDCA;GBA-6S	3.08	3.1	0.02	3.05	-0.03	
HDCA;GBA-3S	3.89	3.89	0	3.85	-0.04	
HDCA;TBA	7.32	7.3	-0.02	7.34	0.02	
HDCA;TBA-6S	3.07	3.09	0.02	3.05	-0.02	
HDCA;TBA-3S	3.83	3.83	0	3.79	-0.04	
isoCDCA;BA	12.06	12.03	-0.03	12.05	-0.01	
isoCDCA;BA-7S	9.34	9.32	-0.02	9.34	0	
isoCDCA;BA-3S	9.5	9.57	0.07	9.58	0.08	
isoCDCA;GBA	7.24	7.19	-0.05	7.23	-0.01	
isoCDCA;GBA-7S	3.8	3.78	-0.02	3.73	-0.07	
isoCDCA;GBA-3S	3.91	3.93	0.02	3.9	-0.01	
isoCDCA;TBA	7.44	7.37	-0.07	7.42	-0.02	
isoCDCA;TBA-7S	3.66	3.63	-0.03	3.59	-0.07	
isoCDCA;TBA-3S	3.84	3.86	0.02	3.83	-0.01	
isoDCA;BA	15.43	15.45	0.02	15.45	0.02	
isoDCA;GBA	11.94	11.9	-0.04	11.91	-0.03	
isoDCA;TBA	12.07	12.04	-0.03	12.05	-0.02	
isoHDCA;BA	11.13	11.12	-0.01	11.14	0.01	
isoHDCA;BA-6S	8.66	8.62	-0.04	8.64	-0.02	
isoHDCA;BA-3S	8.66	8.72	0.06	8.74	0.08	
isoHDCA;GBA	5.39	5.28	-0.11	5.4	0.01	
isoHDCA;GBA-6S	3.07	3.1	0.03	3.05	-0.02	
isoHDCA;GBA-3S	3.32	3.35	0.03	3.31	-0.01	
isoHDCA;TBA	5.83	5.7	-0.13	5.85	0.02	
isoHDCA;TBA-6S	3.05	3.08	0.03	3.03	-0.02	
isoHDCA;TBA-3S	3.3	3.32	0.02	3.29	-0.01	
isoUDCA;BA	10.78	10.79	0.01	10.83	0.05	
isoUDCA;BA-3S	7.05	7.13	0.08	7.12	0.07	
isoUDCA;BA-7S	8.19	8.18	-0.01	8.19	0	
isoUDCA;GBA	4.73	4.63	-0.1	4.71	-0.02	
isoUDCA;GBA-3S	2.8	2.88	0.08	2.79	-0.01	
isoUDCA;GBA-7S	3.2	3.25	0.05	3.19	-0.01	
isoUDCA;TBA	5.11	5	-0.11	5.1	-0.01	
isoUDCA;TBA-3S	2.8	2.88	0.08	2.79	-0.01	
isoUDCA;TBA-7S	3.2	3.18	-0.02	3.13	-0.07	
MDCA;BA	10.68	10.69	0.01	10.73	0.05	
MDCA;BA-6S	7.04	7.11	0.07	7.11	0.07	
MDCA;BA-3S	7.42	7.47	0.05	7.47	0.05	
MDCA;GBA	4.98	4.89	-0.09	4.99	0.01	
MDCA;GBA-6S	2.78	2.85	0.07	2.75	-0.03	
MDCA;GBA-3S	2.9	2.94	0.04	2.86	-0.04	
MDCA;TBA	5.35	5.26	-0.09	5.38	0.03	
MDCA;TBA-6S	2.77	2.85	0.08	2.75	-0.02	
MDCA;TBA-3S	2.88	2.93	0.05	2.86	-0.02	
UDCA;BA	11.41	11.41	0	11.43	0.02	
UDCA;BA-3S	7.82	7.84	0.02	7.84	0.02	
UDCA;BA-7S	9.43	9.45	0.02	9.47	0.04	
UDCA;GBA	6.99	6.97	-0.02	7	0.01	
UDCA;GBA-3S	3.2	3.23	0.03	3.18	-0.02	
UDCA;GBA-7S	4.28	4.28	0	4.25	-0.03	
UDCA;TBA	7.19	7.16	-0.03	7.2	0.01	
UDCA;TBA-3S	3.18	3.22	0.04	3.17	-0.01	
UDCA;TBA-7S	4.22	4.22	0	4.19	-0.03	
12o-DCA;BA	12.45	12.44	-0.01	12.46	0.01	
12o-DCA;BA-3S	9.14	9.16	0.02	9.19	0.05	
12o-DCA;GBA	8.51	8.38	-0.13	8.49	-0.02	
12o-DCA;GBA-3S	3.83	3.83	0	3.8	-0.03	
12o-DCA;TBA	8.82	8.66	-0.16	8.78	-0.04	
12o-DCA;TBA-3S	3.77	3.79	0.02	3.75	-0.02	
3o-CDCA;BA	13.69	13.72	0.03	13.73	0.04	
3o-CDCA;BA-7S	10.49	10.54	0.05	10.51	0.02	
3o-CDCA;GBA	9.89	9.88	-0.01	9.92	0.03	
3o-CDCA;GBA-7S	5.74	5.75	0.01	5.74	0	
3o-CDCA;TBA	10.06	10.07	0.01	10.09	0.03	
3o-CDCA;TBA-7S	5.55	5.57	0.02	5.56	0.01	
3o-DCA;BA	13.66	13.6	-0.06	13.61	-0.05	
3o-DCA;BA-12S	10.58	10.59	0.01	10.57	-0.01	
3o-DCA;GBA	10.15	10.13	-0.02	10.16	0.01	
3o-DCA;GBA-12S	6.63	6.64	0.01	6.62	-0.01	
3o-DCA;TBA	10.3	10.29	-0.01	10.31	0.01	
3o-DCA;TBA-12S	6.32	6.36	0.04	6.36	0.04	
3o-HDCA;BA	11.97	11.98	0.01	12	0.03	
3o-HDCA;BA-6S	8.66	8.73	0.07	8.75	0.09	
3o-HDCA;GBA	7.16	7.17	0.01	7.2	0.04	
3o-HDCA;GBA-6S	3.22	3.27	0.05	3.22	0	
3o-HDCA;TBA	7.38	7.38	0	7.43	0.05	
3o-HDCA;TBA-6S	3.21	3.26	0.05	3.22	0.01	
6o-alloMDCA;BA	12.17	12.17	0	12.18	0.01	
6o-alloMDCA;BA-3S	9.11	9.15	0.04	9.18	0.07	
6o-alloMDCA;GBA	7.42	7.38	-0.04	7.44	0.02	
6o-alloMDCA;GBA-3S	3.6	3.62	0.02	3.58	-0.02	
6o-alloMDCA;TBA	7.66	7.61	-0.05	7.67	0.01	
6o-alloMDCA;TBA-3S	3.56	3.58	0.02	3.55	-0.01	
6o-HDCA;BA	11.78	11.83	0.05	11.85	0.07	
6o-HDCA;BA-3S	9.11	9.17	0.06	9.2	0.09	
6o-HDCA;GBA	7.18	7.19	0.01	7.23	0.05	
6o-HDCA;GBA-3S	3.62	3.64	0.02	3.6	-0.02	
6o-HDCA;TBA	7.4	7.38	-0.02	7.43	0.03	
6o-HDCA;TBA-3S	3.58	3.6	0.02	3.57	-0.01	
7o-CDCA;BA	12.29	12.28	-0.01	12.3	0.01	
7o-CDCA;BA-3S	9.49	9.55	0.06	9.57	0.08	
7o-CDCA;GBA	7.94	7.86	-0.08	7.94	0	
7o-CDCA;GBA-3S	3.91	3.93	0.02	3.89	-0.02	
7o-CDCA;TBA	8.16	8.06	-0.1	8.15	-0.01	
7o-CDCA;TBA-3S	3.81	3.84	0.03	3.8	-0.01	
apoCA;BA	12.56	12.55	-0.01	12.56	0	
apoCA;GBA	9.18	9.06	-0.12	9.17	-0.01	
apoCA;TBA	9.38	9.31	-0.07	9.38	0	
12o-d9-DCA;BA	11.85	11.85	0	11.87	0.02	
12o-d9-DCA;BA-3S	8.32	8.33	0.01	8.35	0.03	
12o-d9-DCA;GBA	7.49	7.43	-0.06	7.49	0	
12o-d9-DCA;GBA-3S	3.42	3.44	0.02	3.39	-0.03	
12o-d9-DCA;TBA	7.69	7.62	-0.07	7.69	0	
12o-d9-DCA;TBA-3S	3.36	3.4	0.04	3.35	-0.01	
3,12-2o-DCA;BA	12.46	12.47	0.01	12.49	0.03	
3,12-2o-DCA;GBA	8.04	7.98	-0.06	8.07	0.03	
3,12-2o-DCA;TBA	8.32	8.24	-0.08	8.35	0.03	
3,6-2o-HDCA;BA	12.55	12.61	0.06	12.63	0.08	
3,6-2o-HDCA;GBA	7.77	7.76	-0.01	7.84	0.07	
3,6-2o-HDCA;TBA	8.08	8.05	-0.03	8.14	0.06	
3,7-2o-CDCA;BA	12.61	12.65	0.04	12.67	0.06	
3,7-2o-CDCA;GBA	7.87	7.85	-0.02	7.94	0.07	
3,7-2o-CDCA;TBA	8.12	8.1	-0.02	8.2	0.08	
3o-d4-CDCA;BA	11.73	11.74	0.01	11.76	0.03	
iso-d5-7o-CDCA;BA	11.1	11.11	0.01	11.14	0.04	
iso-d5-7o-CDCA;BA-3S	8.38	8.46	0.08	8.48	0.1	
iso-d5-7o-CDCA;GBA	5.24	5.17	-0.07	5.28	0.04	
iso-d5-7o-CDCA;TBA	5.6	5.52	-0.08	5.66	0.06	
12-epiCA;BA	7.14	7.12	-0.02	7.18	0.04	
12-epiCA;GBA	3.29	3.28	-0.01	3.29	0	
12-epiCA;TBA	3.41	3.39	-0.02	3.4	-0.01	
alloCA;BA	8.36	8.25	-0.11	8.36	0	
alloCA;GBA	7.85	7.77	-0.08	7.84	-0.01	
alloCA;TBA	7.98	7.9	-0.08	7.98	0	
a-MCA;BA	9.7	9.72	0.02	9.78	0.08	
a-MCA;GBA	4.12	4.06	-0.06	4.11	-0.01	
a-MCA;TBA	4.25	4.19	-0.06	4.25	0	
b-MCA;BA	9.33	9.3	-0.03	9.39	0.06	
b-MCA;GBA	4.01	3.96	-0.05	4	-0.01	
b-MCA;TBA	4.38	4.3	-0.08	4.37	-0.01	
CA;BA	11.18	11.17	-0.01	11.19	0.01	
CA;BA-7S	7.74	7.71	-0.03	7.72	-0.02	
CA;BA-3S	8.14	8.13	-0.01	8.14	0	
CA;GBA	7.45	7.4	-0.05	7.44	-0.01	
CA;GBA-3S	3.65	3.62	-0.03	3.59	-0.06	
CA;TBA	7.65	7.58	-0.07	7.64	-0.01	
CA;TBA-3S	3.62	3.59	-0.03	3.56	-0.06	
DCA-1b-ol;BA	8.93	8.82	-0.11	8.96	0.03	
DCA-1b-ol;GBA	4	3.94	-0.06	3.99	-0.01	
DCA-1b-ol;TBA	4.18	4.11	-0.07	4.17	-0.01	
HCA;BA	10.59	10.58	-0.01	10.61	0.02	
HCA;GBA	5.92	5.81	-0.11	5.96	0.04	
HCA;TBA	6.38	6.24	-0.14	6.42	0.04	
isoCA;BA	8.74	8.68	-0.06	8.81	0.07	
isoCA;GBA	4.04	3.97	-0.07	4.02	-0.02	
isoCA;TBA	4.24	4.18	-0.06	4.24	0	
UCA;BA	7.24	7.22	-0.02	7.28	0.04	
UCA;GBA	3.56	3.52	-0.04	3.54	-0.02	
UCA;TBA	3.7	3.65	-0.05	3.68	-0.02	
w-MCA;BA	8.89	8.78	-0.11	8.92	0.03	
w-MCA;GBA	3.79	3.73	-0.06	3.77	-0.02	
w-MCA;TBA	4.01	3.94	-0.07	3.99	-0.02	
12o-CA;BA	9.63	9.62	-0.01	9.68	0.05	
12o-CA;GBA	4.95	4.83	-0.12	4.93	-0.02	
12o-CA;TBA	5.25	5.12	-0.13	5.23	-0.02	
3o-CA;BA	10.77	10.79	0.02	10.82	0.05	
3o-CA;GBA	6.85	6.85	0	6.9	0.05	
3o-CA;TBA	7.01	7.02	0.01	7.05	0.04	
7o-CA;BA	9.49	9.47	-0.02	9.55	0.06	
7o-CA;GBA	4.89	4.78	-0.11	4.88	-0.01	
7o-CA;TBA	5.12	5.01	-0.11	5.12	0	
7o-HCA;BA	10.15	10.18	0.03	10.22	0.07	
7o-HCA;GBA	4.7	4.63	-0.07	4.71	0.01	
7o-HCA;TBA	4.98	4.9	-0.08	5	0.02	
7,12-2o-CA;BA	7.28	7.3	0.02	7.36	0.08	
7,12-2o-CA;BA-3S	4.11	4.16	0.05	4.1	-0.01	
7,12-2o-CA;GBA	3.3	3.3	0	3.3	0	
7,12-2o-CA;GBA-3S	2.36	2.5	0.14	2.3	-0.06	
7,12-2o-CA;TBA	3.41	3.4	-0.01	3.41	0	
7,12-2o-CA;TBA-3S	2.36	2.5	0.14	2.29	-0.07	
3,7,12-3o-CA;BA	7.32	7.38	0.06	7.46	0.14	
3,7,12-3o-CA;GBA	3.25	3.3	0.05	3.28	0.03	
3,7,12-3o-CA;TBA	3.37	3.4	0.03	3.39	0.02	
CA-6a-ol;BA	6.95	6.95	0	6.99	0.04	
CA-6a-ol;GBA	3.26	3.26	0	3.27	0.01	
CA-6a-ol;TBA	3.37	3.36	-0.01	3.38	0.01	
